# contract_addr, #patch, gas_incr, inst_incr, size_incr, orig_size
0x018dfb4ba926136326da60622d5944ed264e2277 2 130 84 84 3870
0x018f01b4cb44ed29f4d91e7e28b1c1f4abc8a060 2 106 286 286 8576
0x0192926643e6b9a061fd36ac292ba7684d9f1e2f 4 183 451 451 5476
0x01a0939b719213aabcaa075066fb4b0fb88bae56 8 376 1720 1720 11354
0x01a7018e6d1fde8a68d12f59b6532fb523b6259d 1 85 120 120 8726
0x01ae4b0e1cdff0e806c43473081e26335a191825 2 128 822 822 30548
0x01aea7f82662390fe4ff18e5b723b844c6a20f99 2 106 696 696 8008
0x01afc37f4f85babc47c0e2d0eababc7fb49793c8 3 162 242 242 4140
0x01b6f09b54d246670627a009a7dc85bd54354eed 1 55 154 154 9140
0x01c0c5a198159236fc7e58fab1616df8004f8552 1 55 28 28 746
0x01c10050cb28ab9d1d1a3b9faf1325d63889d225 1 97 121 121 4570
0x01c12862d3a02b4bb8a02f0b145255823b36a6ee 2 106 696 696 4284
0x01c59acf9aaab23c456c507a0d9d0f91d1e8c7d6 4 238 538 538 6272
0x01c7c08b33c36d141075abee6d51eb20621a70be 2 106 224 224 4448
0x01cd7096c63d3dc124716a99618a269e49877374 8 556 331 331 11098
0x01cfe59fea8535964fb294ac08d7f72ae63dacf0 4 205 448 448 5108
0x01d31b4d9b6d2aab986fb86bbf3e62463e4c6f66 4 183 451 451 4520
0x01d5d0108589f3c52fcce6e65503bb6515e66698 9 518 440 440 11910
0x01d9f4d104668cdc0b6d13c45dff5e15d58d8f28 8 556 326 326 20332
0x01dcdf19d20d3b722f6f48b591f4644f43e877b8 0 0 0 0 14526
0x01e4031d7338c3ae80233b1d66c96d85be98ff90 2 106 281 281 4302
0x01e53a2e7122a63845b1c329d4fce8124dda5b06 6 310 490 490 7276
0x01eb011239275178445c870dc34455228b0714f5 8 713 753 753 22396
0x01f2acf2914860331c1cb1a9acecda7475e06af8 1 53 334 334 23620
0x01f321611c2f1a7a43c391d3c4b1c0871584c8b2 3 190 240 240 5362
0x01f33982b6b5c531f57acf8c24773e501c835043 5 353 420 420 9578
0x01f862252e12932e7173e5dcc76e1c45a94e2821 3 158 209 209 7420
0x01f9f629d35e2ec3297d077a525ed6aa70493c79 7 361 467 467 4468
0x0201392090ca59f2e1b41a218c4a2b67ecfadf60 7 417 543 543 3624
0x020357707453376823f2fa427243d8906e4d8a20 2 110 386 386 9158
0x020752ae1ff736e92d128b1d3ce351aab70fe2dc 2 141 184 184 15992
0x0211fec93ed1372d906e89f5a9a86653ae430d78 2 110 257 257 5012
0x0214c5c639fc722e62f4821766c56b0018574e59 2 106 696 696 8008
0x0219b584e1f78675d91187c241439d1acdf7aa86 2 106 696 696 8008
0x0221045d7c72150edcecb020ebf60f68942ac936 4 183 1086 1086 8524
0x022116287c5796e829a65f24bd8067605889a0b8 4 212 635 635 9424
0x022125b1ee6de357ad437807c1e0ce4daa6c82b3 3 245 239 239 12304
0x02213cced91ea4b84abd787da807857f6127ffcf 2 106 164 164 654
0x0226f84b243ec25e56844e436eec73711c613fd5 4 200 947 947 7550
0x02280ffe8197fd987678e17a17619dc8496cbbc1 8 434 1622 1622 12542
0x0229cc0290da2a9d2a80a8c7cd283d046b1ada57 2 106 284 284 2784
0x022db5b0c2263c1f1ba99f2adc50feb7e81ae13f 6 374 336 336 9482
0x023252e6f8e13658acd9598e4dcc2040100902eb 2 85 297 297 3132
0x0236a87c79ab2ae936be8d8384daf1080098e622 8 503 654 654 7900
0x02396ee6940c53d08294157e05adb7c88d22e250 2 106 696 696 8004
0x023c601fc2f0943ff9f2c88f22b23e95c666a174 1 53 36 36 5554
0x02454deadea1da8a9c549514143f5b360d6e7fea 4 262 143 143 12744
0x0247828dab926b0f78ac4f579c586390a13e6ba7 1 54 38 38 3762
0x024946f63dc4bc5307c376ce54bafcbbc243f4d5 4 249 284 284 7518
0x024a8198a5eb8325d30b3105691e1a2c99e2d3dd 5 312 518 518 7310
0x0251fea93943fad0654f78f33de553d041584fff 5 312 518 518 7310
0x0258e9535eb922328b3d319a7678eda967d9a708 2 100 66 66 16454
0x025abad9e518516fdaafbdcdb9701b37fb7ef0fa 3 172 229 229 7788
0x0266151c5b5ba83fb1d7abedd70da3736180f4a2 2 106 696 696 8008
0x026eb3120e81270dd7aeb0c240851c0b82407693 4 183 451 451 4520
0x026f00f7587b52fc94656833d1bee028db210935 2 106 696 696 8004
0x027971a9609345ba6f2fa5b0f671cceba5d6ea54 2 106 700 700 9130
0x027a4e49a933955684fd778a91166644d86bc43b 1 54 37 37 1118
0x027b6839b5c2f126cbe993c9627bcdf189f283e8 2 106 283 283 1994
0x027e2e38d107d8b018987560566eb78ade85c494 1 53 30 30 124
0x0281d3d07af19c504d4dde8af899c12781f89a69 2 106 696 696 8008
0x028488fe5ade3a4ee34d35cff5aa28f265d798c8 4 183 451 451 5118
0x028990d32a8e48110ea88be2bdb2fe5369c150b9 3 162 250 250 11454
0x028c6b55acf987e7f657f438d22ce5972099fdd3 2 141 172 172 3656
0x0290ea3c728981725689187763f6c63a68e192b8 3 158 209 209 7318
0x029a4bcf16e9cd4cf8f169e6ee57899a1a380215 2 106 696 696 8004
0x02a50a363acaa7960d01d6d7f88a191b003c31c0 4 205 448 448 5108
0x02ad2003dbb5eb291b812af7e46ba8ec25795fb5 9 562 486 486 3486
0x02b452256f75836b8c939fb0b82cb0d9dcf69013 3 138 216 216 4542
0x02b4c64da0a4bd4e6ef60018a0b4b4e220abb187 4 183 451 451 4520
0x02b6700c0282a687d66f3e09723bed55f23d5b83 4 205 448 448 5108
0x02b9a4dc1d5bd60bd6e966166c196e38013e421a 2 128 280 280 3162
0x02c2b8952650beeab964ad04d28f3ee74488c076 1 64 234 234 8744
